Competition 1,Competition 2,Competition 3,Competition 4,competition 5,competition 6,competition 7,competition 8,competition 9,competition 10,competition 11,competition 12,# of competition,successful or not,keywords
67476,70826,11848,736065,126253,793870,77830,26277,767472,244552,1000000,1000000,10,0,College Vegetarian Cookbook Quick PlantBased Recipes Every College 
1495819,107416,2601,765596,560059,1757665,759473,1935470,669122,8439,1782032,42956,18,0,Pasta Salad The Ultimate Guide 
1952,41374,7156,55071,18859,1000000,681,58633,34995,15010,32010,2601,202,1,Keto Meal Prep Cookbook For Beginners Easy Simple 
77402,124984,266764,216573,552687,45517,52265,1000000,1000000,1000000,1000000,1000000,7,1,Vegetarian Keto Diet Beginners TOP Amazing Simple Recipes 
51494,556848,50489,550422,182310,841522,262222,172269,164172,780624,2375025,320114,17,0,Gastric Sleeve Bariatric Surgery Cookbook The Complete Guide 
730187,58807,3287943,488704,1000000,2594223,5128270,2927443,101741,75819,2789013,1000000,11,0,Nutribullet Recipe Book Smoothie Recipes WeightLoss Detox AntiAging 
870875,215378,642766,140710,93841,183153,2275621,396905,442705,328422,852237,1329805,19,0,PlantBased Diet The Essential Cookbook Beginners Healthy Recipes 
57117,470231,14460,72656,19690,360557,5530,494259,17559,28558,95418,12730,191,1,Keto Instant Pot Recipes Cookbook The Easy Electric 
8425,103649,250483,236397,317,340283,12247,30162,27453,9276,32816,132165,22,1,DASH Diet Dummies Easy Recipes Day Diet Meal 
2601,224294,5455,13887,12749,510367,20823,32166,90841,4883908,1100,9276,436,1,Days Salad Recipes A Salad Cookbook Over Salad 
1619334,2610794,1736849,4883908,1070838,193458,800030,2365967,239542,1741103,1000000,1000000,10,0,Delicious Salads Dressings And Dips Healthy Salad Recipes 
79915,99879,358774,1729001,4883908,1500859,277676,1005728,104876,1750739,1790019,482160,204,0,Homemade Salad Dressing Recipes A Salad Dressings Cookbook 
888917,704359,79915,93553,4883908,547613,934,84149,301812,1364169,398642,277676,21,0,The Mediterranean Salad Cookbook Salads Salad Dressings Healthy 
1000000,135579,90117,1084,373163,785818,77416,872927,19863,597201,13183,254860,25,1,PlantBased Diet Cookbook Beginners Day Meal Plan Energize 
111676,671547,521752,130699,53411,232409,53309,741490,59898,124984,188463,180722,28,0,FAST EASY VEGETARIAN MEAL PREP Weekly Plans Recipes 
21953,353977,137931,905095,103449,15793,334842,858729,560559,445362,60997,52265,35,1,Vegan Cookbook Delicious Vegan Glutenfree Breakfast Lunch Dinner 
247312,337864,33843,215378,22117,77830,76104,196090,491088,77269,188560,77402,39,1,Keto Vegetarian Cookbook Easy Delicious LowCarb Vegetarian Recipes 
287289,724,989531,107420,107420,36807,116196,872927,1085142,1000000,1000000,1000000,9,0,Vegan Athlete Cookbook HighProtein Delicious Recipes Your Workouts 
26277,128859,14460,98209,638131,285290,282880,655498,537667,31518,113538,1000000,672,0,Corn Cookbook 
1996377,2594456,1141155,401897,2070473,7817,283466,151402,563982,1871594,1350696,1000000,11,0,The Quick Easy Spiralizer Cookbook Vegetable Noodle Recipes 
9276,266904,207381,1000000,150529,378563,602693,1130505,220755,1035072,560059,330458,29,0,The Alkaline Diet Ultimate Guide Beginners Healthy Recipes 
569224,4018205,2839281,2537109,1872197,1443584,1216842,3187523,2664672,1000000,1000000,1000000,9,0,Green Salads Quick Easy Gluten Free Low Cholesterol 
15960,6966,524777,55071,872927,19863,100693,48092,15960,287260,67476,373163,422,1,Plant Based Cookbook Plant Based Cookbook Beginners Weeks 
130699,193458,37927,473068,13183,115033,418046,77830,724,124984,32166,38743,52,1,Superfood Cookbook Delicious Vegetarian Superfood Salads Easy Weight 
682149,52689,568275,671547,430397,254860,15793,402465,1260625,28680,1000000,1000000,10,1,Plant Based Meal Prep Healthy PlantBased Recipes Cleanse 
53411,60997,106049,229391,19175,19863,159448,257575,22117,83460,111676,120574,22,1,THE PLANTBASED DIET COOKBOOK FOR BEGINNERS An Inspiring 
572649,238998,4883908,1029108,104876,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,Hello Macaroni Salad Recipes Best Macaroni Salad Cookbook 
587256,4883908,1082875,277676,1849835,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,Hello Main Dish Salad Recipes Best Main Dish 
450991,427818,437061,562526,53411,920434,530391,1182701,425666,695063,3880,28680,142,1,Plant Based High Protein Cookbook Delicious Vegan Recipes 
744275,2886391,2475013,2700868,1052887,160618,482742,180722,1778331,20386,787142,2455348,26,0,Vegan Salads Over Vegan Quick Easy Gluten Free 
50242,53309,746298,395270,9276,124984,1000000,56564,26298,2482,17140,681,495,1,The Complete Keto For Two Cookbook For Beginners 
85931,300747,175822,793577,123643,958466,121453,386388,1088126,639587,1313378,1236826,43,0,Spiralizer Spiralizer Cookbook Healthy And Delicious Spiralizer Recipes 
107420,4883908,104876,63271,427818,168327,418046,318375,37927,22117,1085142,116196,56,1,Salad Cookbook Delicious High Protein Vegetarian Salad Recipes 
171547,21953,277676,13485,10410,42390,4672,767643,1574,10205,39114,187401,84,1,Keep It Vegan 
83460,1091174,121453,381290,1084,113538,920033,140722,32166,703343,466177,1000000,11,1,Zucchini Cookbook Family Zucchini Recipe Book Tasty Easy 
134622,9276,1117824,636310,32166,22061,1766,11921,13485,20823,473068,117293,105,1,Superfood Salad Recipes A Clean Eating Cookbook Easy 
2894657,117766,744275,2439154,2159758,2446977,66636,180722,1821156,4574102,2351160,2416114,54,0,Superfoods Salads In A Jar Over Quick Easy 
3610,249452,414060,10094,2601,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,1,LAZY KETO DIET FOR VEGANS Top Quick Easy 
7123,28680,8126,5503,48388,3236,15793,1283,17441,41336,2125,407,91,1,PlantBased Budget Delicious Vegan Recipes Under Week Less 
13887,1490613,35518,1252807,163270,154448,449528,52689,724,796520,358478,4672,17,1,PlantBased Nutrition E Idiots Guides 
171698,21766,45880,287260,25947,37927,113538,1000000,1000000,1000000,1000000,1000000,7,1,The Oh She Glows Cookbook Over Vegan Recipes 
172002,2243927,448197,28680,42713,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,1,BOSH Simple Recipes Amazing Food All Plants BOSH 
128643,15960,13887,6966,44140,36415,107420,3880,96286,293449,33914,13183,14,1,Forks Over Knives The PlantBased Way Health 
825346,626110,1071628,938764,587205,1932639,1186725,215032,1982681,1000000,1000000,1000000,9,0,PLANTLAB 
19175,45880,413303,2696,25947,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,1,Rachel Ama ’ Vegan Eats Tasty plantbased recipes 
634160,445362,287260,26277,254860,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,1,The Vegan Instant Pot Cookbook Wholesome Indulgent PlantBased 
15960,15960,13887,287260,36807,3880,33914,432680,6966,13183,122324,26277,33,1,Forks Over Knives—The Cookbook Over Recipes PlantBased Eating 
37927,54282,50842,3553,107420,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,1,Thug Kitchen The Official Cookbook Eat Like You 
618,37621,13485,37927,13887,54282,1000000,1000000,1000000,1000000,1000000,1000000,6,1,Thug Kitchen Fast Fck A Cookbook Thug Kitchen 
21953,355997,665499,15793,417307,5455,1479798,5530,21766,25947,20386,225475,178,1,The Easy Vegan Cookbook Make Healthy Home Cooking 
33914,318960,37927,15960,1000000,75771,203715,34146,13485,13887,25947,297491,102,1,The No Meat Athlete Cookbook Whole Food PlantBased 
41241,84185,45517,485912,724,646883,1729755,1000000,8425,53309,796520,181047,23,1,The Complete Vegetarian Cookbook A Fresh Guide Eating 
215378,36807,93841,396905,183153,22117,442705,19863,544667,1000000,1000000,1000000,9,1,The Essential Vegan Keto Cookbook Healthy Delicious PlantBased 
279290,188618,241713,176263,460725,499374,663346,203066,383720,368089,1000000,1000000,11,0,AFFORDABLE PLANTBASED COOKING WITH YOUR INSTANT POT Quick 
386547,63926,233110,610330,36316,98432,30162,11528,1517884,971144,1030569,176263,13,1,Super Simple One Pot Meals Learn Cook Easy 
1288994,995626,1119684,69939,555445,175579,175146,53366,1000000,1000000,1000000,1000000,8,0,GlutenFree Baking Perfect Gluten Free Bread Cookies Cakes 
740251,197314,139558,141705,32966,13366,32213,384156,42713,776495,184503,32926,17,1,Ottolenghi Flavor A Cookbook 
111676,480663,2601,149970,40699,220025,287260,451120,80310,34794,390454,1000000,722,0,Five Ingredient Vegan 
5530,1575716,130699,15793,989433,353439,253426,20386,21953,415367,36807,67476,23,1,The Vegan Simple Delicious Recipes Made Ingredients Less 
887932,83977,20386,937378,13183,1064506,53309,1004501,251719,15960,1000000,1000000,10,1,Vegan Reset The Day Plan Kickstart Your Healthy 
647705,890240,1000000,567202,854312,1291154,1027773,10663,516044,1051528,92954,44400,30,0,Veggie Mama 
125669,611363,39114,137429,283113,41220,300661,187401,654290,612315,10098,36807,28,1,I Can Cook Vegan 
2696,15301,3941,4065,2981,7153,8303,19492,606639,10967,21126,13013,76,1,Vegan Vengeance th Anniversary Edition Over Delicious Cheap 
13420,117289,32010,159448,17942,31519,44140,144475,2826,71972,363698,8585,60,1,Keto Smoothie Recipes Healthy And Delicious Ketogenic Diet 
373014,1047707,827453,4580,884494,333388,1000000,1000000,1000000,1000000,1000000,1000000,6,0,Indian Delicious Indian recipes ingredients fewer 
781159,228638,1320505,1000000,1669673,1049094,177684,130699,1386571,183153,368089,1000000,12,0,The Vegetarian Meal Prep Cookbook TimeSaving Recipes Weekly 
519771,201649,53550,9209,568342,107074,482,1092271,33420,1277343,567945,759107,54,1,Air Fryer Cookbook For Beginners In Easy Healthy 
4578779,168233,1764695,586030,886626,7711,909955,3146652,1232771,126,1251587,936267,12,0,Things To Do With Potato 
1100,57713,105376,14832,93364,7817,46176,1000000,1000000,1000000,1000000,1000000,7,1,Six Seasons A New Way Vegetables 
397680,26298,383720,1153786,345302,1410964,181047,934736,13887,1011180,5530,37927,19,1,The Complete Vegan Instant Pot Cookbook Delicious WholeFood 
45880,25947,37927,21766,43582,113538,287260,1000000,1000000,1000000,1000000,1000000,7,1,The Oh She Glows Cookbook Over Vegan Recipes 
95841,124701,1171768,138316,360916,57520,109959,74946,182294,51338,142703,384825,348,0,Edible Wild Plants 
53309,177722,51801,354245,3880,70643,122324,13887,1000000,1000000,1000000,1000000,8,1,The PlantBased Diet Beginners Delicious Healthy WholeFood Recipes 
896,3793,1000000,39704,450,2754,38760,2117,2117,8999,3827,223073,116,0,THE GARDEN GURU ’ S GUIDE TO PRESERVING 
413286,64945,44398,393799,135579,100693,52265,144337,7915,205855,175,321398,50,0,The New Vegetarian Cooking Everyone A Cookbook ] 
42713,2243927,172002,28680,448197,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,BOSH Simple Recipes Amazing Food All Plants BOSH 
2195572,1468855,227068,1238799,2426186,1101074,948459,1795940,1236038,1236240,1000000,1000000,11,0,Days Spiralizer Recipes A Spiralizer Cookbook Over Recipes 
11596,254860,200550,1137086,852271,777951,13572,959372,978378,194044,220479,128920,12,0,The Plant Paradox Cookbook Delicious Recipes Help You 
1061602,15960,503904,13183,741118,1064506,230972,1678374,908516,1720011,633896,475501,13,0,LowCarb Vegetarian Cookbook Easy Recipes KickStart Meal Plan 
99740,178867,3544,7545,413638,227912,160821,215387,1252110,255600,92318,57812,62,0,The Healthy Air Fryer Cookbook Truly Healthy Fried 
45880,19175,34959,413303,25947,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,1,Rachel Ama ’ Vegan Eats Tasty plantbased recipes 
409758,3880,15960,28680,67476,254860,61749,48092,270551,6966,83460,113355,785,1,Eating Vegan A PlantBased Cookbook Beginners 
595085,2261800,203366,1733919,3633206,1000000,1509325,81327,90957,1000000,1000000,1000000,9,0,The Healthy Smoothie Bible Lose Weight Detoxify Fight 
616152,38743,111676,67476,1429374,724,53309,470128,557805,1364621,234813,781559,45,1,The Minute Vegetarian Cookbook Healthy Delicious Meals Busy 
181047,84185,36807,1000000,41241,1729755,724,8425,31143,796520,45517,485912,23,1,The Complete Vegetarian Cookbook A Fresh Guide Eating 
1000000,9392,290667,41477,854331,608586,10205,442108,350490,5364,52471,671040,15,1,DR SEBI How Naturally Detox Liver Reverse Diabetes 
33607,486719,291322,681,146874,1392139,2826,32010,2601,310529,908605,52242,111,1,Atkins Diet Plan The Complete Beginners Guide With 
107420,6966,90841,67476,15960,122324,26277,33914,13887,528,3880,128643,33,1,Forks Over Knives—The Cookbook Over Recipes PlantBased Eating 
124701,379426,47127,137429,95841,142703,51338,392006,6423,15925,182294,109959,34,1,The Complete Guide Edible Wild Plants 
183172,32166,37927,221800,503473,12730,68730,108882,13887,65627,142198,2153,109,1,Vegetarian Instant Pot Cookbook Fast Easy Follow Healthy 
1778937,388920,514321,1043052,37621,1093939,939553,77785,26755,723644,693703,18948,215,1,The Farmers Market Cookbook 
475172,92359,57498,107123,175,2826,114337,97701,42713,13013,292749,63678,186,1,Ingredients Quick Easy Food The UK edition 
77416,318375,393799,6966,530391,372311,115662,872927,53411,858596,437061,270551,190,0,Plant Based Diet Cookbook For Beginners HighProtein Healthy 
203066,383720,663346,279290,176263,241713,460725,368089,499374,188618,1000000,1000000,11,0,AFFORDABLE PLANTBASED COOKING WITH YOUR INSTANT POT Quick 
139995,1022410,254419,423910,16149,223927,391016,1162718,287043,176260,1063165,467567,109,0,Dr Sebi The Complete Guide Dr Sebi ’ 
310629,283634,115662,64432,888054,3880,61749,135579,432680,254860,661258,1009752,397,0,Plant Based Diet Cookbook beginners Quick Easy Cookbook 
36439,83460,200718,296480,365179,59767,211849,330165,73066,211177,17760,18471,81,1,The Farm Cooking School 
515901,347222,1919586,16579,270687,275239,230488,27745,367765,57498,106247,608487,59,1,Comfort food soothe soul 
723495,1000000,5364,2077701,1000000,290667,358281,1405485,1000000,1000000,1000000,1000000,8,0,Dr Sebi Alkaline Recipe A Comprehensive Guide On 
26277,13887,279290,111676,175,254860,80310,67476,100693,20386,28680,3880,533,1,The Easy Ingredient Vegan Cookbook Healthy Plant Based 
257783,415054,83460,121417,202450,925757,109881,1737939,379303,961687,1241257,199486,13,0,Bean Bean A Cookbook More Recipes Fresh Beans 
3941,13013,8303,2981,4065,19492,83389,23153,28701,21126,105645,6314,68,1,Vegan Vengeance th Anniversary Edition Over Delicious Cheap 
384156,7915,184503,740251,32966,32213,776495,139558,42713,32926,141705,1120833,17,1,Ottolenghi Flavor A Cookbook 
67476,203066,616152,13887,22117,452766,26277,142198,107420,44140,52265,329005,44,1,Vegetarian Instant Pot Healthy PlantBased Recipes Make Quick 
4721,66687,13887,713789,794900,117021,145019,57498,144475,32166,84338,9276,75,1,Foodie Cookbook Beginners Foodie Recipe Book Day Plan 
235987,808224,2129329,338286,6437563,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,James Beards Menus Entertaining 
3880,317,6966,79660,19966,245178,116196,229391,1000000,44140,226000,283634,86,1,The PlantBased Diet Beginners The Health Benefits Eating 
239542,482,32370,48325,294458,169554,481171,632772,106555,53550,11181,201649,23,1,Instant Vortex Air Fryer Oven Cookbook beginners Most 
632772,16066,29136,37699,207780,759107,1000000,1000000,1000000,1000000,1000000,1000000,6,1,INSTANT POT AIR FRYER LID COOKBOOK Affordable Quick 
202450,508922,337864,3001,1075406,444838,544524,150175,701779,81931,496897,485185,84,0,Keto Bread Machine Recipe Book Quick And Easy 
36316,53182,102837,55071,353977,537423,116591,383675,390490,234621,759107,30162,247,1,Air Fryer Cookbook Beginners Day Quick Easy Recipe 
1026448,1231783,1077511,971154,1303,2503166,1000000,1000000,1000000,1000000,1000000,1000000,6,0,Hello Margarita Recipes Best Margarita Cookbook Ever For 
55071,353977,232601,33420,730892,889174,2601,853710,1000000,99740,288752,575360,196,0,Air Fryer Cookbook Beginners Easy Healthy LowCarb Recipes 
218120,98155,164322,230076,133926,983513,19966,503883,1153644,206172,100196,322256,34,0,Intermittent Fasting Increase Energy Heal Your Body Intermittent 
420144,110896,3544,482,421043,30162,32370,1180318,11181,14032,1000000,1000000,10,1,Nuwave Air Fryer Oven Cookbook Beginners Amazingly Easy 
897310,109953,71177,479250,119318,223180,821982,613254,1000000,1000000,1000000,1000000,8,0,KETO SOUPS OVER AMAZING KETO SOUPS FOR ALL 
62543,120042,10094,495927,723717,2017344,1378,363859,1000000,1000000,1000000,1000000,8,0,KETO ICE CREAMS COOKBOOK EASY AND DELICIOUS ICE 
389099,2601,8188,9276,12749,13887,5455,21314,94740,681,12745,25947,206,1,Slow Cooker Cookbook Easy Recipes Simple Follow Food 
57307,29655,13768,8767,110061,9460,92752,154819,30331,1100861,557684,17501,32,1,Foodie Grill Cookbook Beginners Recipe Foodie Grill Cookbook 
2560064,1620577,481961,13627,458847,2209170,1290403,822768,803917,1000000,1000000,1000000,9,0,Hello Main Dish Casserole Recipes Best Main Dish 
1000000,1140253,922075,2110472,1089967,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,Cooking Joule Sous Vide Immersion Circulator Delicious Recipes 
170901,487181,147896,44140,343720,71390,594974,166228,63436,76104,19775,164335,90,0,Keto Instant Pot Cookbook Beginners Burn Low Carb 
439820,44140,15081,175822,310349,307870,5530,346120,1284117,17559,1174213,668243,118,1,Mediterranean Diet Cookbook Two Easy Healthy Delicious Recipes 
137840,123667,36316,713042,858989,105235,254965,1000000,1000000,1000000,1000000,1000000,7,0,Aroma Rice Cooker Cookbook Easy Delicious Rice Cooker 
513746,51801,203366,101741,250311,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,KETO DRINK COOKBOOK FOR BEGINNERS SMOOTHIES COCKTAILS JUICES 
2017344,1781830,363859,814691,133418,1022490,100406,495927,2824476,85271,1163413,723717,14,0,KETO ICE CREAMS EASY RECIPES FOR BEGINNERS 
14354,204406,340283,743046,1145533,16267,81502,30558,15010,167098,725429,1151371,407,1,Mediterranean Diet Cookbook Day Meal Plan Lose Weight 
11035,537710,665718,969842,660910,5530,190173,7339,331655,14460,585887,1504090,440,1,Instant Pot Recipe Book Quick Easy Electric Pressure 
1337835,322,1125989,1077511,931330,1026448,1103828,971154,316545,1000000,1000000,1000000,9,0,Hello Rum Drink Recipes Best Rum Drink Cookbook 
912025,673421,250385,334804,394926,1788,5530,94413,207169,214174,854792,7339,59,1,Instant Pot Cookbook Foolproof Recipes Electric Pressure Cooker 
159448,564905,645449,1997556,67028,1775943,9532,792103,662361,681,2601,1000000,29,1,Ketogenic Diet Cookbook Top Keto Recipes Health Rapid 
2475857,1133187,728303,104876,4883908,745942,1029108,761107,476415,714955,707898,300661,58,0,Hello Bean Salad Recipes Best Bean Salad Cookbook 
2601,5455,9469,9276,681,28558,338626,159448,9532,57498,255335,12749,621,1,Ketogenic Instant Pot Cookbook Low Carb Weight Loss 
125853,251456,24804,120185,702161,14460,622488,227194,250699,1000000,1000000,1000000,9,0,A Dinner Day Complete Meals Minutes Every Weeknight 
659421,1225810,1418179,164341,53624,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,Hello Christmas Side Dish Recipes Best Christmas Side 
1742,424589,591211,187075,201943,283948,299910,486719,2017344,237535,11596,351185,88,0,KETO DRINKS COOKBOOK EASY AND DELICIOUS DRINKS FOR 
583887,1205021,2290,718908,1468535,36861,1000000,1000000,1000000,1000000,1000000,1000000,6,0,Sunday Suppers Recipes Gatherings A Cookbook 
855692,1323418,2137819,643582,910039,924123,1225810,125526,553500,299298,761123,1205521,68,0,Hello Christmas Recipes Best Christmas Cookbook Ever For 
854739,147914,193813,213332,386983,9175,1113580,6719,42647,144668,38543,1154688,158,1,Professional Catering 
479114,63436,786250,328248,1378,97826,747131,409150,52265,62543,9469,12749,30,1,The Keto Instant Pot Cookbook A Practical Approach 
442705,642766,1889199,47043,69318,329005,180722,203066,15960,1017170,634160,12730,76,1,Vegan Instant Pot Cookbook Easy PlantBased Recipes Pressure 
239913,740849,1139445,254140,1601724,4182698,3181,36316,861262,360678,418519,384645,18,0,Campfire Cooking Easy Recipes Cooking Grill Cast Iron 
67011,200997,182904,124643,2098918,134896,1524857,110929,351310,1000000,82814,1967817,709,0,Mexican Food Easy Recipe Book 
19175,687957,1901118,1656551,3212650,1047166,231413,1075737,35,586636,47492,2718629,15,0,eat peas English picture book children 
1290403,897839,202450,543624,641966,2776892,1221009,803917,1118045,1187868,926386,1351839,17,0,Hello Spaghetti Squash Recipes Best Spaghetti Squash Cookbook 
30162,482,583364,2601,32166,503618,36316,681,277566,1678876,759107,3544,48,1,Air Fryer Cookbook The Top Quick Easy Recipes 
55071,53182,30162,14032,759107,390490,353977,116591,102837,383675,8188,537423,247,1,Air Fryer Cookbook Beginners Day Quick Easy Recipe 
233944,132447,37927,584155,24733,2826,408476,20823,32166,3573,13887,16245,315,1,Days Cookie Recipes A Cookie Cookbook Over Recipes 
124383,424262,18655,374998,7440,464466,223573,247173,106865,40688,6194,241471,87,1,The New Camp Cookbook 
642449,589527,26634,72154,762134,183178,299298,4235,35478,220091,548384,354759,13,1,Season Big Flavors Beautiful Food 
10094,539351,19690,95418,2601,625787,57498,272872,11921,22549,159448,244573,739,1,Keto Diet Instant Pot Cookbook Ingredients Keto Diet 
